id,type,title,channel_or_publisher,url,published,discovered,status,priority,domains,notes
yt-cOItltE2k80,video,Why Some People Succeed (And Others Stay Stuck),@thefutur,https://www.youtube.com/watch?v=cOItltE2k80,NA,2026-07-14,skipped,2,,MEMBERS-ONLY video (yt-dlp: 'Join this channel to get access to members-only content'). Paywalled behind channel membership; cannot be ingested. Diagnosed 2026-07-28 batch 197.
yt-dOZkAqR_2lA,video,Easy Way to Get Clients Without Ads or Cold DM's - FREE 2 HOUR MASTERCLASS,@thefutur,https://www.youtube.com/watch?v=dOZkAqR_2lA,2026-06-24,2026-07-14,L2,2,sales-clients;branding;business,"CO-TAUGHT with Matt Essam (3rd joint appearance) — curriculum is HIS (talent limit, trust grid, borrowed audience), fenced as context. 160KB, largest transcript in corpus. Chris yield: THE CRUCIBLE (only allowed to tell the truth here) + the avatar-language test ('you're not even in the room, bro'; 'she's still the boss') + take-one-idea-to-its-extreme used live. Finding: corpus has CONVERGED on client acquisition — only 2 new items from a 2hr flagship session"
yt-HSuRQZG1ql4,video,"How to Align Your Passion, Skills, and Career | Part 2",@thefutur,https://www.youtube.com/watch?v=HSuRQZG1ql4,NA,2026-07-14,skipped,2,,"MEMBERS-ONLY video, Patron Member tier or higher (yt-dlp: 'available to this channel's members on level: Patron Member'). Paywalled; cannot be ingested. Diagnosed 2026-07-28 batch 197."
yt-k520NhbFhIE,video,The Psychology of Making People Buy,@thefutur,https://www.youtube.com/watch?v=k520NhbFhIE,2026-06-03,2026-07-14,L2,2,branding;business;sales-clients;content-strategy,"category creation: blue ocean + Innovator's Dilemma Honda story; Method Soap / Dude Wipes / Liquid Death; PAS caveat (must find a NEW customer); THE ETHICS ANSWER ('you are all complicit in the lie'; con=confidence man; one line drawn: false scarcity); real vs false scarcity (Priestley); 'being good is expected, you have to be better than good'; L3-candidate"
yt-nY58IHYAARM,video,Your First Million Is Closer Than You Think,@thefutur,https://www.youtube.com/watch?v=nY58IHYAARM,2026-05-19,2026-07-14,L2,2,business;pricing;sales-clients;mindset,rules of one; trading up; SUPPLY-CHAIN SIDE DOOR (Nike via Vibram/Gore-Tex); completed referral script (4th step: assume they didn't do it); $200k ceiling + minors/majors (the tiers origin + numbers); 'the unlock wasn't the design work'; BAR + 'you can't use a belief to change a belief'; DISCLOSES losing $1M in 2024 revenue; disrupt yourself; L3-candidate
yt-m30YwxRJYcc,video,"You Don't Need a Lifetime of Therapy, Watch This Instead",@thefutur,https://www.youtube.com/watch?v=m30YwxRJYcc,2026-05-14,2026-07-14,L2,2,mindset,"DEFERRAL CLEARED. GUEST-DOMINATED (Dr John Demartini coaching demo) — ~98% guest speech, NOT persona data. Participants' faces blurred by producers; personal disclosures deliberately NOT recorded. Chris yield is small but real: 'if you're not going to tell the truth, don't even bother' (Kier McLaren, on therapy) + the antagonist-as-accelerant reframe. TITLE CAVEAT: the anti-therapist line is the guest's; Chris's settled view is pro-therapy. Low L3 priority"
yt-97f8zw1mbik,video,Getting Clients Is Easy Once You Master This!,@thefutur,https://www.youtube.com/watch?v=97f8zw1mbik,2026-05-02,2026-07-14,skipped,2,,MEMBERS-ONLY video — yt-dlp: 'Join this channel to get access to members-only content'. Not a transient fetch error and not a captions problem: the video is paywalled behind channel membership and cannot be ingested. Diagnosed 2026-07-28 after 3 failed attempts.
yt-8wa_ZyNpQWs,video,What Entrepreneurs Ask Chris Do in Private | Part 1,@thefutur,https://www.youtube.com/watch?v=8wa_ZyNpQWs,NA,2026-07-14,skipped,3,,MEMBERS-ONLY video (Patron Member tier or higher). Paywalled behind channel membership; cannot be ingested.
yt-Ns6XI1sAzKs,video,The One Energy Mistake Killing Your Videos,@thefutur,https://www.youtube.com/watch?v=Ns6XI1sAzKs,NA,2026-07-14,skipped,2,,MEMBERS-ONLY video (yt-dlp: 'Join this channel to get access to members-only content'). Paywalled; cannot be ingested. Diagnosed 2026-07-28 batch 198.
yt-d7bgouAH3ns,video,How to Build a Brand People Actually Remember,@thefutur,https://www.youtube.com/watch?v=d7bgouAH3ns,2026-04-07,2026-07-14,L2,2,branding;mindset;business;content-strategy,"LANDMARK (deferral cleared): Unbland Yourself; three-part essence (one thing/enemy/rallying cry); be number one (3x law, The Dip); three principles; clothes as tools + corporate-uniform trap; THE PROVOCATEUR answer (style as social prosthetic); two doors; robot-voice test; 2025 business disclosure (departures took Accelerator + revenue; semi-retirement; $20k/mo shortfall); L3-candidate"
yt-i9AqXEjbf8I,video,Your Insecurity Is Your Brand,@thefutur,https://www.youtube.com/watch?v=i9AqXEjbf8I,2026-03-31,2026-07-14,L2,2,mindset;branding;biography,"BIOGRAPHY LANDMARK: identity arc (invisible -> Art Center graduation -> counter-stereotype mission); KIER McLAREN HAS DIED + Daywalker verdict in his words; family structure (engineers/artists, middle of 3 brothers); father's questioning method; parenting philosophy (bribe them to quit school); L3-candidate"
yt-1Gl_crWRxXk,video,The Personal Brand Framework That Gets You Hired,@thefutur,https://www.youtube.com/watch?v=1Gl_crWRxXk,NA,2026-07-14,skipped,2,,"MEMBERS-ONLY video, Patron Member tier or higher. Paywalled; cannot be ingested. Diagnosed 2026-07-28 batch 198."
yt-GaDK_zVy1Cc,video,Don’t Chase Virality (Do This Instead),@thefutur,https://www.youtube.com/watch?v=GaDK_zVy1Cc,2026-03-24,2026-07-14,L2,2,content-strategy;branding;mindset;business,"LANDMARK keynote (1 Billion Followers Summit, Dubai; rebuts Brendan Kane): antiviral argument, correct contrarian (Manson), validation loop, VidCon 2022 empty rooms, dealer-addict, three circles + $58/hr Art Center, gift economy, Art&Fear quantity, trust at scale; 'nothing wrong with going viral - that should not be the goal'; L3-candidate"
yt-dmGJd8EwGbo,video,This Is What Good Sales Conversations Look Like (Sales Training Pt. 1),@thefutur,https://www.youtube.com/watch?v=dmGJd8EwGbo,NA,2026-07-14,skipped,2,,"MEMBERS-ONLY video, Patron Member tier or higher. Paywalled; cannot be ingested. Diagnosed 2026-07-28 batch 198."
yt-8ojJm2gzAPM,video,Why some videos blow up & others don't (Coaching session w/ Chris Do & Brendan Kane),@thefutur,https://www.youtube.com/watch?v=8ojJm2gzAPM,NA,2026-07-14,skipped,2,,MEMBERS-ONLY video (base membership). Paywalled behind channel membership; cannot be ingested. Diagnosed 2026-07-28 batch 199 (bulk pass over the members-only block).
yt-Zys3dt503Q4,video,"If I Started Over as a Graphic Designer, I'd Do This to Hit $100K",@thefutur,https://www.youtube.com/watch?v=Zys3dt503Q4,2026-03-10,2026-07-14,L2,2,business;pricing;design-craft;sales-clients;content-strategy,FLAGSHIP: five stages to 100k (survival/stability/systems/scale/sustain); reading list; tracing method; 3-5 pieces; imagination gap; geographic arbitrage; 'clients choose the least risky option'; the steak rule; follow-five outreach + referral scripts; Kier McLaren named w/ 2.2M-3.9M; L3-candidate
yt-939NOouclvM,video,Is Your Pitch So Simple A Kid Gets It?,@thefutur,https://www.youtube.com/watch?v=939NOouclvM,2026-02-24,2026-07-14,L2,2,communication;branding,competition-show mentor segment; the repeatable story (business coach = Kier McLaren); 'make a fact visual' (3 Empire States); say less; 'loud introvert / serial dreamer'; format tests the lesson via stranger-relay; L3-candidate
yt-nTthfof409U,video,"Stop Struggling for Clients, Here's a Niche That Pays!",@thefutur,https://www.youtube.com/watch?v=nTthfof409U,2026-02-17,2026-07-14,L2,2,pricing;sales-clients;content-strategy;business,reverse math (divide by 10 not 12); starving-but-can-pay; Drucker 'customers own the brand'; thumbnails as MRR; 3rd 'student of the game' + admits own titles/thumbnails optimized; the pledge device; L3-candidate
yt-DK9DGsc3eaY,video,The Sales Strategy to Beat the Competition Even If You’re Outclassed,@thefutur,https://www.youtube.com/watch?v=DK9DGsc3eaY,2026-02-10,2026-07-14,L2,2,sales-clients;pricing;business;branding,"Air film breakdown: underdog playbook (cast doubt, invert their strength, arm the buyer); isolate the decision-maker; the Carrie story + price priming; 'she doesn't know how things are done'; concentration; L3-candidate"
yt-pc1CH6rNqP4,video,What NOT to Do on a Sales Call (Live Roleplay),@thefutur,https://www.youtube.com/watch?v=pc1CH6rNqP4,NA,2026-07-14,skipped,2,,MEMBERS-ONLY video (base membership). Paywalled behind channel membership; cannot be ingested. Diagnosed 2026-07-28 batch 199 (bulk pass over the members-only block).
yt-LdPHurNaIec,video,How to Package Your Service Correctly,@thefutur,https://www.youtube.com/watch?v=LdPHurNaIec,2026-01-30,2026-07-14,L2,2,pricing;sales-clients;design-craft;communication,"irresistible offer built live: dream outcome, perceived certainty, time to result, friction; 3 renames (discovery/alignment/road map); press-on nails; MBG exit clause; two-option speed premium; L3-candidate"
yt-8iWZzQTg3nw,video,How to Get Better Clients as a Creative Freelancer,@thefutur,https://www.youtube.com/watch?v=8iWZzQTg3nw,NA,2026-07-14,skipped,2,,MEMBERS-ONLY video (Patron Member tier or higher). Paywalled behind channel membership; cannot be ingested. Diagnosed 2026-07-28 batch 199 (bulk pass over the members-only block).
yt-mgNTZRpZmEk,video,Why Your Customers Don't Buy From You,@thefutur,https://www.youtube.com/watch?v=mgNTZRpZmEk,2026-01-22,2026-07-14,L2,2,sales-clients;branding;content-strategy;business,market is bigger than your target; the 3 call questions; steal their customers; TGO (Nicole Johnson); needs vs emotional wants; AIDA+C w/ Advocacy; awareness ladder + myth-example-truth; L3-candidate
yt-5eCNrbsEwQA,video,Create Offers So Good People Feel Stupid Saying No,@thefutur,https://www.youtube.com/watch?v=5eCNrbsEwQA,NA,2026-07-14,skipped,2,,MEMBERS-ONLY video (Patron Member tier or higher). Paywalled behind channel membership; cannot be ingested. Diagnosed 2026-07-28 batch 199 (bulk pass over the members-only block).
yt-05XuPA4Q_SE,video,How to Build Content People Actually React To,@thefutur,https://www.youtube.com/watch?v=05XuPA4Q_SE,2026-01-17,2026-07-14,L2,3,content-strategy;sales-clients;business,"LIVE DIAGNOSTIC, narrated as it happens. He stops mid-session to name the method: 'I'm going to take longer… because I'm going to help creative people understand HOW TO TALK TO POTENTIAL CLIENTS… NOTICE WE'VE NOT TALKED ABOUT ANY TACTICS.' The sequence visible step by step: outcome > write it as an equation > how is it measured > BASELINE AND BENCHMARK ('baseline is what's the average, then what would you like to get it to') > refuses to pick their metric > interrogates the OUTLIERS not the average. Plus 'let me not lead the witness' — a self-correction on question technique, aloud, matching 'I'm stopping myself from talking right there' from 2016."
yt-tMAnP6EmF8g,video,The WORST Way to Tell Any Story (And Everyone Does It),@thefutur,https://www.youtube.com/watch?v=tMAnP6EmF8g,2026-01-10,2026-07-14,L2,2,communication;content-strategy;branding,"story structure: begin at greatest conflict, 'but' not 'and then', what's at stake; The Moth/writers; 30-30-30 plan; better concept beats better production; pattern interrupt; L3-candidate"
yt-meVstiZhvqA,video,How to Sell Through Your Content in 2026 (Without Being Salesy),@thefutur,https://www.youtube.com/watch?v=meVstiZhvqA,2026-01-03,2026-07-14,L2,2,content-strategy;sales-clients;business;branding,sell THROUGH not IN your content; farming not hunting; follow the breadcrumbs + he admits 600 unlooked-at profile views; DIYer fallacy (buyers not DIYers); 4-part LinkedIn audit; 2nd 'student of the game' attestation; L3-candidate
yt-POnPkjjT6Pw,video,The Only Content You Need to Post if YOU Want Clients,@thefutur,https://www.youtube.com/watch?v=POnPkjjT6Pw,2025-12-31,2026-07-14,L2,2,content-strategy;sales-clients;branding;communication,"Content-to-Clients Blueprint (Adobe MAX): quiz-as-filter, Goldilocks yes/no/maybe, the 'that's me' test, stuck-moment worksheet, empathy hook; 'words shape worlds'; L3-candidate"
yt-oEfp-B5GULk,video,The Exact Framework To Get More Clients (Full Session),@thefutur,https://www.youtube.com/watch?v=oEfp-B5GULk,NA,2026-07-14,skipped,2,,MEMBERS-ONLY video (Patron Member tier or higher). Paywalled behind channel membership; cannot be ingested. Diagnosed 2026-07-28 batch 199 (bulk pass over the members-only block).
yt-0LMzxmMcDEA,video,Stop Competing with Bigger Firms. Do This Instead,@thefutur,https://www.youtube.com/watch?v=0LMzxmMcDEA,NA,2026-07-14,skipped,2,,MEMBERS-ONLY video (base membership). Paywalled behind channel membership; cannot be ingested. Diagnosed 2026-07-28 batch 199 (bulk pass over the members-only block).
yt-Vr46ynsD13E,video,Why You're Selling Too Hard to the Wrong Clients,@thefutur,https://www.youtube.com/watch?v=Vr46ynsD13E,NA,2026-07-14,skipped,2,,MEMBERS-ONLY video (Patron Member tier or higher). Paywalled behind channel membership; cannot be ingested. Diagnosed 2026-07-28 batch 199 (bulk pass over the members-only block).
yt-kkYCNfI1pSk,video,"If You’re Still Pricing Hourly, This Will Change Your Entire Business",@thefutur,https://www.youtube.com/watch?v=kkYCNfI1pSk,NA,2026-07-14,skipped,2,,MEMBERS-ONLY video (Patron Member tier or higher). Paywalled behind channel membership; cannot be ingested. Diagnosed 2026-07-28 batch 199 (bulk pass over the members-only block).
yt--_sTrDwoZyM,video,The Secret to Handling Any Sales Objection (They’ll Never See It Coming),@thefutur,https://www.youtube.com/watch?v=-_sTrDwoZyM,2025-12-11,2026-07-14,L2,2,sales-clients;pricing;communication,pre-empt objections (the sales call he was 'a victim to'); price-anchoring script + informed-buyer question; 'do not explain' / 'that's what it costs' / 'policy'; L3-candidate
yt-H2-Mk84iSMU,video,How to Find Clients Who Can Actually Pay You  | Adobe MAX 2025,@thefutur,https://www.youtube.com/watch?v=H2-Mk84iSMU,NA,2026-07-14,skipped,2,,MEMBERS-ONLY video (Patron Member tier or higher). Paywalled behind channel membership; cannot be ingested. Diagnosed 2026-07-28 batch 199 (bulk pass over the members-only block).
